Metric,Value,variant,base_sequence,source_variant,source_run
AUROC_prior_abs_risk,0.5300679057884284,full,tomato_soup_can_yalehand0,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
AUPRC_prior_abs_risk,0.3446705808150022,full,tomato_soup_can_yalehand0,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Brier_prior_abs_risk,0.2466560219435302,full,tomato_soup_can_yalehand0,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
ECE_prior_abs_risk,0.245292443144754,full,tomato_soup_can_yalehand0,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Pairwise_AUROC_prior_worse,0.6164283832650812,full,tomato_soup_can_yalehand0,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Pairwise_balanced_accuracy,0.5386090954809972,full,tomato_soup_can_yalehand0,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Pairwise_ordering_accuracy,0.537199124726477,full,tomato_soup_can_yalehand0,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
p_risk_threshold_shared,0.2499999999999999,full,tomato_soup_can_yalehand0,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
prior_advantage_margin_cm,0.1,full,tomato_soup_can_yalehand0,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Shared error MAE_obs_cm,2.6361700562710952,no_quality,cracker_box_reorient,simple,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Shared error MedianAE_obs_cm,0.1547746952222634,no_quality,cracker_box_reorient,simple,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Shared error Spearman_obs,0.8589518169271471,no_quality,cracker_box_reorient,simple,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
AUROC_obs_abs_risk,0.941039304359392,no_quality,cracker_box_reorient,simple,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
AUPRC_obs_abs_risk,0.9209918924222964,no_quality,cracker_box_reorient,simple,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Brier_obs_abs_risk,0.0821846222753123,no_quality,cracker_box_reorient,simple,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
ECE_obs_abs_risk,0.0246031223798023,no_quality,cracker_box_reorient,simple,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Shared error MAE_prior_cm,2.79538806031695,no_quality,cracker_box_reorient,simple,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Shared error MedianAE_prior_cm,0.1816058061578636,no_quality,cracker_box_reorient,simple,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Shared error Spearman_prior,0.8556463294347755,no_quality,cracker_box_reorient,simple,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
AUROC_prior_abs_risk,0.9606945560376382,no_quality,cracker_box_reorient,simple,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
AUPRC_prior_abs_risk,0.9270497370250268,no_quality,cracker_box_reorient,simple,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Brier_prior_abs_risk,0.0654367267389903,no_quality,cracker_box_reorient,simple,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
ECE_prior_abs_risk,0.0353104340307928,no_quality,cracker_box_reorient,simple,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Pairwise_AUROC_prior_worse,0.873332972446273,no_quality,cracker_box_reorient,simple,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Pairwise_balanced_accuracy,0.7858658582796514,no_quality,cracker_box_reorient,simple,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Pairwise_ordering_accuracy,0.7721088435374149,no_quality,cracker_box_reorient,simple,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
p_risk_threshold_shared,0.2499999999999999,no_quality,cracker_box_reorient,simple,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
prior_advantage_margin_cm,0.1,no_quality,cracker_box_reorient,simple,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Shared error MAE_obs_cm,4.774129384372924,no_quality,cracker_box_yalehand0,simple,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Shared error MedianAE_obs_cm,0.82310015551455,no_quality,cracker_box_yalehand0,simple,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Shared error Spearman_obs,0.5046879372321441,no_quality,cracker_box_yalehand0,simple,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
AUROC_obs_abs_risk,0.6095522481268988,no_quality,cracker_box_yalehand0,simple,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
AUPRC_obs_abs_risk,0.8743794804706777,no_quality,cracker_box_yalehand0,simple,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Brier_obs_abs_risk,0.1741186240235134,no_quality,cracker_box_yalehand0,simple,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
ECE_obs_abs_risk,0.08558775965197,no_quality,cracker_box_yalehand0,simple,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Shared error MAE_prior_cm,5.300127579154161,no_quality,cracker_box_yalehand0,simple,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Shared error MedianAE_prior_cm,0.8325999695930841,no_quality,cracker_box_yalehand0,simple,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Shared error Spearman_prior,0.751354119088907,no_quality,cracker_box_yalehand0,simple,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
AUROC_prior_abs_risk,0.786289511081635,no_quality,cracker_box_yalehand0,simple,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
AUPRC_prior_abs_risk,0.8681250636596164,no_quality,cracker_box_yalehand0,simple,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Brier_prior_abs_risk,0.303402340968594,no_quality,cracker_box_yalehand0,simple,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
ECE_prior_abs_risk,0.3311397981833293,no_quality,cracker_box_yalehand0,simple,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Pairwise_AUROC_prior_worse,0.9061982928443444,no_quality,cracker_box_yalehand0,simple,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Pairwise_balanced_accuracy,0.7587657519497526,no_quality,cracker_box_yalehand0,simple,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Pairwise_ordering_accuracy,0.8185390428211586,no_quality,cracker_box_yalehand0,simple,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
p_risk_threshold_shared,0.2499999999999999,no_quality,cracker_box_yalehand0,simple,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
prior_advantage_margin_cm,0.1,no_quality,cracker_box_yalehand0,simple,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Shared error MAE_obs_cm,0.4422164548148455,no_quality,sugar_box_yalehand0,simple,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Shared error MedianAE_obs_cm,0.1257637719106829,no_quality,sugar_box_yalehand0,simple,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Shared error Spearman_obs,0.7387570528230734,no_quality,sugar_box_yalehand0,simple,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
